Aberg,5761,Maria Alm/Steinernen Meer,Oesterreich
Ableitenweg,5101,Bergheim,Oesterreich
Abtsdorf,5621,St.Veit/Pongau,Oesterreich
Acharting Siedlung,5102,Anthering,Oesterreich
Achleitweg,5730,Mittersill,Oesterreich
Adambergergasse,1020,Wien,Oesterreich
Adam-Mueller-Guttenbrunn-Str.,5020,Salzburg,Oesterreich
Adolf-Amadeo-Gasse,1210,Wien,Oesterreich
Adolf-Scharner-Hof,1040,Wien,Oesterreich
Adolfstorgasse,1130,Wien,Oesterreich
Agnesweg,5340,St.Gilgen,Oesterreich
Ahorngasse,5582,St.Michael/Lungau,Oesterreich
Ahornweg,1220,Wien,Oesterreich
Ahornweg,5580,Tamsweg,Oesterreich
Ahornweg,5700,Zell/See,Oesterreich
Aichhorngasse,1120,Wien,Oesterreich
Aigellehenweg,5422,Hallein,Oesterreich
Aigen,5165,Berndorf b.Sbg.,Oesterreich
Ailecgasse,1110,Wien,Oesterreich
AKH-Steg,1090,Wien,Oesterreich
Albertisgasse,1210,Wien,Oesterreich
Albinaweg,5411,Oberalm,Oesterreich
Alexander-Haidenthaller-Str.,5023,Salzburg,Oesterreich
Alexander-Nehr-Gasse,1090,Wien,Oesterreich
Alfons-Mucha-Weg,1140,Wien,Oesterreich
Alfred-Wegener-Gasse,1190,Wien,Oesterreich
Alma-Rose-Gasse,1100,Wien,Oesterreich
Almgasse,5020,Salzburg,Oesterreich
Almweg,5562,Tweng,Oesterreich
Alois-Eyermann-Weg,1220,Wien,Oesterreich
Alois-Negrelli-Gasse,1210,Wien,Oesterreich
Alpenstrasse,5020,Salzburg,Oesterreich
Alpenweg,5532,Filzmoos,Oesterreich
Alpiltoweweg,1210,Wien,Oesterreich
Alsgasse,1170,Wien,Oesterreich
Alte Aigner Strasse,5026,Salzburg,Oesterreich
Alte Bundesstrasse,5500,Bischofshofen,Oesterreich
Alte Laaer Strasse,1100,Wien,Oesterreich
Alte Landstrasse,5113,St.Georgen b.Sbg.,Oesterreich
Alte Mattseer Strasse,5020,Salzburg,Oesterreich
Alte Sportplatzgasse,5111,Buermoos,Oesterreich
Alte Wiestalstrasse,5412,Puch b.Hallein,Oesterreich
Altenberg,5162,Obertrum/See,Oesterreich
Altentannstrasse,5302,Henndorf/Wallersee,Oesterreich
Altes Allgemeines Krankenhaus,1090,Wien,Oesterreich
Althoff-Jacobi-Gasse,1030,Wien,Oesterreich
Altomontegasse,1120,Wien,Oesterreich
Am Ausfergenufer,5400,Hallein,Oesterreich
Am Bach,5721,Piesendorf,Oesterreich
Am Bachangerl,5721,Piesendorf,Oesterreich
Am Blinklingmoos,5350,Strobl,Oesterreich
Am Brunnen,5330,Fuschl/See,Oesterreich
Am Florysee,5761,Maria Alm/Steinernen Meer,Oesterreich
Am Hellbrunner Berg,5081,Anif,Oesterreich
Am Jufersbach,5760,Saalfelden/Steinernen Meer,Oesterreich
Am langen Felde,1220,Wien,Oesterreich
Am Lidaun,5324,Faistenau,Oesterreich
Am Muehlbachl,5741,Neukirchen/Grossvenediger,Oesterreich
Am Nordwestbahnhof,1210,Wien,Oesterreich
Am Riedelwald,5201,Seekirchen/Wallersee,Oesterreich
Am Rosenhuegel,1130,Wien,Oesterreich
Am Schierlinggrund,1220,Wien,Oesterreich
Am Schilf,5700,Zell/See,Oesterreich
Am Sonnenhang,5161,Elixhausen,Oesterreich
Am Spitz,5400,Hallein,Oesterreich
Am Stadtpark,1030,Wien,Oesterreich
Am Urschlag,5350,Strobl,Oesterreich
Am Weberbach,5321,Koppl,Oesterreich
Am Weizenfeld,5751,Maishofen,Oesterreich
Am Wetterkreuz,5165,Berndorf b.Sbg.,Oesterreich
Am Winterbichl,5322,Hof b.Sbg.,Oesterreich
Am Zimmerberg,5500,Bischofshofen,Oesterreich
Amalienstrasse,1130,Wien,Oesterreich
Amortgasse,1140,Wien,Oesterreich
Ampfinggasse,5020,Salzburg,Oesterreich
Amselweg,5350,Strobl,Oesterreich
Amtsstrasse,1210,Wien,Oesterreich
An der Fischach,5201,Seekirchen/Wallersee,Oesterreich
An der Huelben,1010,Wien,Oesterreich
An der Zwerchwiese,1190,Wien,Oesterreich
Andrae-Dopplerweg,5071,Himmelreich,Oesterreich
Andreas-Lechner-Strasse,1140,Wien,Oesterreich
Andromeda Tower,1220,Wien,Oesterreich
Anglerweg,1220,Wien,Oesterreich
Anisgasse,1220,Wien,Oesterreich
Anna-Hand-Weg,1030,Wien,Oesterreich
Anton-Baumgartner-Strasse,1230,Wien,Oesterreich
Anton-Boeck-Gasse,1210,Wien,Oesterreich
Anton-Figl-Hof,1140,Wien,Oesterreich
Anton-Haidl-Gasse,1170,Wien,Oesterreich
Anton-Hochmuth-Strasse,5020,Salzburg,Oesterreich
Antonie-Platzer-Gasse,1140,Wien,Oesterreich
Antoniusweg,5400,Hallein,Oesterreich
Anton-Klein-Gasse,1220,Wien,Oesterreich
Anton-Matourek-Hof,1150,Wien,Oesterreich
Anton-Scharff-Gasse,1120,Wien,Oesterreich
Anton-Wildgans-Strasse,5026,Salzburg,Oesterreich
Anzenbergweg,5301,Eugendorf,Oesterreich
Anzfelden,5102,Anthering,Oesterreich
Apostelgasse,1030,Wien,Oesterreich
Aribogasse,1220,Wien,Oesterreich
Arndorf,5731,Hollersbach/Pinzgau,Oesterreich
Arnogasse,5020,Salzburg,Oesterreich
Arnsdorf,5112,Lamprechtshausen,Oesterreich
Arnsdorferweg,5112,Lamprechtshausen,Oesterreich
Artillerieplatz,1110,Wien,Oesterreich
Aschergasse,1130,Wien,Oesterreich
Asenweg,5201,Seekirchen/Wallersee,Oesterreich
Astachsiedlung,5611,Grossarl,Oesterreich
Astenweg,5710,Kaprun,Oesterreich
Ateliergasse,1220,Wien,Oesterreich
Atzgersdorfer Strasse,1230,Wien,Oesterreich
Au,5152,Dorfbeuern,Oesterreich
Auenbruggergasse,1030,Wien,Oesterreich
Auerspergstrasse,1010,Wien,Oesterreich
Auer-von-Welsbach-Strasse,5020,Salzburg,Oesterreich
Augentrostgasse,1220,Wien,Oesterreich
Augstrasse,5163,Mattsee,Oesterreich
August-Gruber-Strasse,5020,Salzburg,Oesterreich
Auhofstrasse,1130,Wien,Oesterreich
Ausserfeld,5724,Stuhlfelden,Oesterreich
Aussichtsweg,5113,St.Georgen b.Sbg.,Oesterreich
Austrasse,5061,Elsbethen,Oesterreich
Austrasse,5582,St.Michael/Lungau,Oesterreich
Autokaderstrasse,1210,Wien,Oesterreich
Auweg,5113,St.Georgen b.Sbg.,Oesterreich
Auweg,5661,Rauris,Oesterreich
Auwiesenstrasse,5161,Elixhausen,Oesterreich
Axel-Corti-Gasse,1210,Wien,Oesterreich
Bachbauergasse,5582,St.Michael/Lungau,Oesterreich
Bachfeldweg,5101,Bergheim,Oesterreich
Bachgasse,5585,Unternberg,Oesterreich
Bachseitenweg,5550,Radstadt,Oesterreich
Bachweg,5113,St.Georgen b.Sbg.,Oesterreich
Bachzeile,1170,Wien,Oesterreich
Badeteich Hirschstetten,1220,Wien,Oesterreich
